Title,Uploader,Views,Likes,Comments,Upload Date,Duration (Seconds),Duration (Minutes),Tags,URL
🔥Salary of a Data Scientist | How Much Do Data Scientists Make? | Intellipaat #Shorts #DataScientist,Intellipaat,392615,13915,34,18-08-2024,25,0.42,"salary of data scientist, salary of data scientist in india, data scientist salary, data scientist salary in india, how much does a data scientist earn, data science salary, data science salary in india for freshers, data science entry level salary, Data Science Earnings, Tech Careers, Data Scientist Income, Data Scientist Salary Insights, Data Science Industry, Salary of a Data Scientist, Tech Industry Salaries, Shorts, Shorts Video, Shorts Feed, Shorts Feed Viral, Intellipaat",https://www.youtube.com/watch?v=A_MzXThZPgI
🔥Salary of Data Scientist | Data Science Professional Salary | Simplilearn #shorts,Simplilearn,76368,2472,2,07-10-2024,59,0.98,"data scientist salary, data scientist, data science, data scientist salary in india, data science salary, salary of data scientist, data scientist salary in usa, data scientist job, data scientist career, self-taugh data scientist, data analyst salary, data science jobs, data scientist salary usa, data engineer salary, data scientist salary per month, entry level data scientist salary, salary of data scientist in india, data analytics",https://www.youtube.com/watch?v=mAMbPhKqrcY
"Reality behind data science, machine learning jobs",codebasics,1913368,81041,588,16-02-2022,53,0.88,"data science and machine learning, data scientist jobs, data science jobs, data scientist day in the life, data scientist job description, yt:cc=on, data science, data scientist salary, data scientist, data analytics, career advice, career advice for young people, Data science for beginners, python data science, data science jobs for freshers, Data scientist salary in india, data science career, amazon data scientist, data science job, data scientist job",https://www.youtube.com/watch?v=R6u5EBWAssY
What Do Data Scientists ACTUALLY Do? | Life as a Data Scientist | Intellipaat #Shorts #DataScientist,Intellipaat,63799,2158,19,11-10-2024,22,0.37,"What do Data Scientists Do, Life as a data scientist, data scientist job description, data scientist skills, What do data scientists do all day at the work, data scientist career, data scientist work in company, data scientist work, data science, data scientist, role of a data scientist, work of a data scientist, what is the role of data scientist, tech jobs, IT jobs, Data Science jobs, Highet paying tech jobs, #shorts, Tech shorts, Data Science shorts, YT shorts, intellipaat",https://www.youtube.com/watch?v=fG_ETXqi_So
Google Launches Free Data Science Agent in Colab Powered By Gemini,Growth Learner,326,7,0,04-03-2025,708,11.8,"AI tools, AI data analysis, data science, data scientist, data science for beginners, data science ai agent, data science ai, google colab data science, google colab data analysis, data analytics in google colab, data analysis with google colab, ai agent for data science, ai for data science, ai tools for data science, ai tools for data scientist, python for data science, data science python, data science with python, data science using python, gemini",https://www.youtube.com/watch?v=1Lq2xzqj_S0
Intro to Data Science: What is Data Science?,Steve Brunton,109740,1574,40,06-06-2019,495,8.25,"Data Science, Machine Learning, Optimization, Regression, Modeling, Neural Networks, Classification, Visualization, Data Analytics, Data, Data-driven science, Big Data",https://www.youtube.com/watch?v=FsSrzmRawUg
Computer Vision Explained in 5 Minutes | AI Explained,AI Sciences,135489,2239,22,09-08-2021,342,5.7,"data engineer, data science, Machine Learning, Neural Networks, data analysis, data visualization, AI, Artificial Intelligence, data storytelling, deep learning, data science project, Programming, Python, ai sciences, computer vision, computer vision tutorial, learn computer vision, what is computer vision, computer vision projects, computer vision python, computer vision course, technology, computer vision explained, computer vision basics, intro to computer vision",https://www.youtube.com/watch?v=puB-4LuRNys
Computer Vision: Crash Course Computer Science #35,CrashCourse,427725,10568,157,15-11-2017,669,11.15,"John Green, Hank Green, vlogbrothers, Crash Course, crashcourse, education, computing, computers, crash course computer science, compsci, computation, computer vision, fei-fei li, kernel, filter, viola-jones, face detection, convolutional neural networks, convolution, image processing, facial recognition, deep learning, biometrics, autonomous cars, snapchat filters, barcodes, prewitt operators",https://www.youtube.com/watch?v=-4E2-0sxVUM
Why Computer Vision Is a Hard Problem for AI,Quanta Magazine,148851,5904,94,24-10-2023,518,8.63,"science, quanta, quanta magazine, explainer, science explainer, science video, educational video, computer vision, artificial intellgence, computer science",https://www.youtube.com/watch?v=YOKPo-I6cgs
How Computer Vision Applications Work,AltexSoft,30473,893,27,17-02-2022,795,13.25,"Computer Vision, Convolutional Neural Network, CNN, Deep Learning, Machine Learning, Weights, Kernel, AI, Artificial Intelligence, Tesla self-driving, Autopilot, ATTOL",https://www.youtube.com/watch?v=oGvHtpJMO3M
Deep Learning for Computer Vision with Python and TensorFlow – Complete Course,freeCodeCamp.org,958276,26325,724,06-06-2023,134200,2236.67,,https://www.youtube.com/watch?v=IA3WxTTPXqQ
How Computer Vision Works,Google Cloud Tech,328125,6793,116,19-04-2018,428,7.13,"how computer vision works, google cloud vision, video intelligence apis, rest api, how cnns work, how rnns work, how does computer vision work?, how do CNNs work?, CNNs, RNNs, convolutional neural nets, vision API, cloud video intelligence API, cloud vision API, human vision, machine learning, ML, neural network, recurrent neural network, google developers, cloud developers, google cloud, GCP, google cloud platform, how do RNNs Work?, GDS: Yes;",https://www.youtube.com/watch?v=OcycT1Jwsns
Hough Transform | Boundary Detection,First Principles of Computer Vision,187695,3613,0,03-03-2021,1300,21.67,"Hough transform, extraneous data, outliers, incomplete data, image space, parameter space, Hough space, accumulator array, voting, line detection, circle detection, edge gradient, first principles, computer vision, computational imaging, computational photography, Shree Nayar, Columbia Vision Laboratory, CAVE Laboratory, Computer Science, Columbia Engineering, School of Engineering and Applied Sciences, Columbia University",https://www.youtube.com/watch?v=XRBc_xkZREg
What Is Computer Vision & Why Does It Matter?,NVIDIA,37875,586,0,21-03-2022,116,1.93,"NVIDIA, Artificial Intelligence, Image Classification, Computer Science, Computer Vision, Computer Vision Software, Computer Vision Technology, Data Science, GAN, Image Datasets, Image Processing, Image Synthesis, Image Tracking, Instance Segmentation, Machine Vision, Medical Imaging, Object Classification, Object Detection, Object Localization, Object Recognition, Perception, Semantic Segmentation, Software Developer, Vision AI, Visual Data",https://www.youtube.com/watch?v=OnTgbN3uXvw
"Master Text, Image & Audio Processing with Phi-4-multimodal-instruct",Maximum Code,175,5,5,03-03-2025,480,8,"C#, Neural Networks, AI Tutorial, Machine Learning, Deep Learning, Programming, Coding, Artificial Intelligence, Software Development, Neural Network in C#, Beginners Guide, Tech Tutorial, Computer Science, Learning Rate, Activation Function, Backpropagation, Large Language Models, Chat System, LM Studio, Ollama, Retrieval-Augmented Generation, RAG, Microsoft Semantic Kernel, autogen, autogen studio, MultiModel AI, AI with Vision, Phi4, phi-4",https://www.youtube.com/watch?v=rEV5VoGUwjA
कंप्यूटर विज़न : यह काम किस प्रकार करता है | Computer Vision  | Analytics India Guru,AIM TV,2133,77,5,20-04-2024,248,4.13,,https://www.youtube.com/watch?v=cI3HwlYfrUQ
Natural Language Processing in Artificial Intelligence in Hindi | NLP with Demo and Examples,Gate Smashers,861020,16418,525,16-05-2019,1038,17.3,"NLP, NLP in AI, AI in nta net, AI, artificial intelligence, AI with examples, nta net 2022, gate 2022, ai online, neural networks, ai course, ai full course, nlp with example, nlp training, nlp tutorial, natural language processing tutorial, natural language processing applications, natural language processing notes, Natural Language Processing, Natural Language Processing in Artificial Intelligence, Natural Language Processing in Artificial Intelligence in Hindi",https://www.youtube.com/watch?v=bPpwZxasJo0
What is NLP (Natural Language Processing)?,IBM Technology,317843,8255,193,11-08-2021,577,9.62,"NLP, Natural Language Processing, AI, IBM, IBM Cloud, IBM Watson, Natural Language Understanding, NLU",https://www.youtube.com/watch?v=fLvJ8VdHLA0
Natural Language Processing In 5 Minutes | What Is NLP And How Does It Work? | Simplilearn,Simplilearn,687439,11638,568,17-03-2021,329,5.48,"natural language processing, what is nlp, what is nlp and how does it work, nlp, natural language processing in artificial intelligence, natural language processing tutorial, natural language processing in 5 minutes, nlp tutorial, nlp in 5 minutes, nlp programming tutorial, nlp and deep learning, nlp and machine learning, nlp and its applications, natural language processing tutorial for beginners, simplilearn nlp, nlp explained, nlp tutorial for beginners, simplilearn",https://www.youtube.com/watch?v=CMrHM8a3hqw
Natural Language Processing with spaCy & Python - Course for Beginners,freeCodeCamp.org,790602,11027,367,27-09-2021,10952,182.53,,https://www.youtube.com/watch?v=dIUTsFT2MeQ
Complete NLP Natural Language Processing in One Shot (4 Hours) | Semester Exam | In Hindi,5 Minutes Engineering,25565,555,28,31-05-2024,14356,239.27,,https://www.youtube.com/watch?v=OL435ArVFwE
Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Simplilearn,Simplilearn,95332,1595,26,10-12-2020,764,12.73,"Natural Language Processing In 10 Minutes, NLP Tutorial For Beginners, NLP Training, nlp techniques, nlp training videos, nlp tutorial, nlp in deep learning, nlp in deep learning tutorial, natural language processing tutorial, natural language processing projects, natural language processing full course, natural language processing course, deep learning, deep learning Simplilearn, Simplilearn",https://www.youtube.com/watch?v=6I-Alfkr5K4
Natural Language Processing (NLP) Full Course | Learn NLP in Deep Learning Tutorial 2024,WsCube Tech,70862,2096,54,27-03-2024,7104,118.4,"natural language processing, natural language processing tutorial, natural language processing in artificial intelligence, nlp, natural language processing course, natural language processing course 2024, nlp full course, nlp full tutorial, nlp course 2024, nlp course in hindi, nlp techniques, nlp in deep learning, natural language processing full course, natural language processing python, WsCube Tech, nlp course, nlp deep learning tutorial, nlp artificial intelligence",https://www.youtube.com/watch?v=-33oXx0TwHI
Complete NLP Machine Learning In One Shot,Krish Naik,257590,4817,214,27-11-2023,13990,233.17,"yt:cc=on, complete nlp machine elarnign tutorials, complete deep learning tutorials, word2vec tutorials, avgword2vec, skigram tutorials, natural language processign tutorials",https://www.youtube.com/watch?v=ENLEjGozrio
"Master Text, Image & Audio Processing with Phi-4-multimodal-instruct",Maximum Code,175,5,5,03-03-2025,480,8,"C#, Neural Networks, AI Tutorial, Machine Learning, Deep Learning, Programming, Coding, Artificial Intelligence, Software Development, Neural Network in C#, Beginners Guide, Tech Tutorial, Computer Science, Learning Rate, Activation Function, Backpropagation, Large Language Models, Chat System, LM Studio, Ollama, Retrieval-Augmented Generation, RAG, Microsoft Semantic Kernel, autogen, autogen studio, MultiModel AI, AI with Vision, Phi4, phi-4",https://www.youtube.com/watch?v=rEV5VoGUwjA
Introduction to Natural Language Processing in Hindi ( NLP ) 🔥,Perfect Computer Engineer,183183,2090,45,07-05-2020,314,5.23,"natural language processing, what is natural language processing, introduction to natural language processing, natural language processing tutorial, Natural Language Processing Mumbai University, what is Natural Language Processing, what is Natural Language Processing in Hindi, what is Natural Language Processing (nlp), what is Natural Language Processing in computer science, Introduction to Natural Language Processing in Hindi, nlp",https://www.youtube.com/watch?v=boQTFk1BqbY
Big Data In 5 Minutes | What Is Big Data?| Big Data Analytics | Big Data Tutorial | Simplilearn,Simplilearn,1922181,34503,2000,10-12-2019,312,5.2,"big data, what is big data, what is big data and how does it work, big data hadoop, what is hadoop, what is hadoop and big data, what is hadoop and how does it work, why hadoop, how hadoop works, big data analytics, big data use cases, hadoop use cases examples, hadoop, big data tutorial for beginners, hadoop tutorial, big data training, hadoop training, simplilearn big data, simplilearn hadoop, simplilearn, big data introduction, hadoop and big data, big data course",https://www.youtube.com/watch?v=bAyrObl7TYE
Big Data & Hadoop Full Course - Learn Hadoop In 10 Hours | Hadoop Tutorial For Beginners | Edureka,edureka!,1480614,16817,192,01-09-2019,37657,627.62,"yt:cc=on, big data and hadoop full course, big data full course, hadoop full course, hadoop tutorial for beginners, hadoop tutorial, learn hadoop, learn big data, big data hadoop, big data, hadoop, big data tutorial, big data tutorial for beginners, big data hadoop tutorial, big data and hadoop, hadoop complete tutorial, what is hadoop, hadoop training, big data training, big data analytics, hadoop ecosystem, hadoop architecture, edureka, big data edureka, hadoop edureka",https://www.youtube.com/watch?v=1vbXmCrkT3Y
Big Data Engineering Full Course Part 1 | 17 Hours,The Data Tech,312885,7373,209,28-08-2023,34313,571.88,"bigdata, dataengineering, apache hadoop, apache spark, how to learn big data, big data course, big data free course, thedatatech, the data tech, apache hive, bigdata with cloud, dataengineering with cloud, data engineering with aws, big data with google cloud, big data with azure, big data resume preparation, big data interview question, big data solution architect course, best big data analytics courses online, big data bootcamp course online, big data and data analytics course",https://www.youtube.com/watch?v=Tyg1FVNq40g
What Is Big Data?,World Economic Forum,406305,2580,0,07-03-2016,109,1.82,"world economic forum, WEF, Davos",https://www.youtube.com/watch?v=eVSfJhssXUA
Big Data Big Insights  | class 12  | Animation | Summary  | 1.4 Big Data Big Insights | In Hindi,Rudra Mishra,42652,3175,204,15-12-2024,726,12.1,"big data big insights, big data big insights class 12, big data big insights class 12 brainstorm, big data big insights class 12 ice breakers, big data big insights class 12 in marathi, big data big insights class 12 animation, big data big insights class 12 explanation in hindi, big data big insights class 12 explanation, big data big insights 12th english, big data big insights class 12 animation in hindi, 1.4 big data big insights, class 12 english 1.4, Rudra Mishra",https://www.youtube.com/watch?v=cSOMb5J-QWU
"""Big Data Revolution"" - PBS Documentary",Bitcoin TV,145141,1256,78,19-11-2016,3143,52.38,"bitcoin, blockchain, bitcoin tv, bitcointv, money, new money, crypto, currency, satoshi, nakamoto, distributed, ledger, decentralised, cryptocurrency, network, payment, mining, big data",https://www.youtube.com/watch?v=bIY3LUZ7i8Y
Big Data - Tim Smith,TED-Ed,596367,5591,107,03-05-2013,367,6.12,"\Tim Smith\, CERN, TEDx, TEDxCERN, \TED, Ed\, TEDEducation, TED-Ed, \Big, Data\, \CERN, Big, Data",https://www.youtube.com/watch?v=j-0cUmUyb-Y
"BIG DATA - ""Unglued"" [OFFICIAL MUSIC VIDEO]",Big Data,241462,4883,233,16-07-2019,231,3.85,"Joywave, Sir Sly, Missio, Hozier, X Ambassadors, Billie Eilish, Metric, Wallows, Oliver Tree, Foster the People, Coin, Alternative, Alt Radio, Dangerous, Stop-Motion, Stop Motion, Stop Motion Animation, Stop-Motion Animation, Animation, Portugal.The Man",https://www.youtube.com/watch?v=Qz25E9CryQ0
Distributed Computing with Apache Spark: Spark for Beginners!,itversity,191,10,2,03-03-2025,613,10.22,"distributed computing, apache spark, spark tutorial, big data, spark cluster, hadoop, data processing, big data processing, cloud computing, spark architecture, beginner's guide, what is distributed computing, how distributed computing works, data engineering, data science, distributed systems, spark for beginners, introduction to spark, apache hadoop, big data explained",https://www.youtube.com/watch?v=Iema3-fSo7g
Big Data Explained,IBM Technology,42691,426,16,27-06-2019,423,7.05,"big data, big data analytics, hadoop, data analytics, serverless, faas, SQL, couchdb, apache couchdb, nosql, postgresql, couchbase, cloud storage, database, data warehouse, machine learning",https://www.youtube.com/watch?v=HRfR4dJoKDc
